year,county_name,state_postal,cbsa_code,cy_gratio,cy_bracket_gratio_5,cy_bracket_gratio_6,cy_bracket_gratio_7,cy_bracket_gratio_8,cy_avg_giving_by_itemizer,gvsa,gvsa_5,gvsa_6,gvsa_7,gvsa_8,god,god_5,god_6,god_7,god_8,cy_itemized_agi,itemized_agi_5,itemized_agi_6,itemized_agi_7,itemized_agi_8,cy_amt_contributions,amt_contributions_5,amt_contributions_6,amt_contributions_7,amt_contributions_8,avg_giving_by_itemizer_5,avg_giving_by_itemizer_6,avg_giving_by_itemizer_7,avg_giving_by_itemizer_8,Income
2013,Ada County,ID,14260,3.2800000160932534E-2,3.7900000810623176E-2,3.5999998450279243E-2,3.1099999323487282E-2,3.1700000166893005E-2,4.9173002243041992,-0.18131318688392636,-0.21205821633338923,-0.17620137333869931,-0.17506630718708041,-0.15915119647979736,52451.222656249993,8869.7636718749982,8165.7714843749991,16596.154296875,18819.53515625,7610569.9999999991,870992.99999999988,1054068,2524646,3160863,249849.99999999997,33025,37897,78583,100345,2.3691000938415527,3.1319999694824219,4.1821999549865714,16.780099868774411,490804
2013,Adams County,CO,19740,2.2099999710917476E-2,2.3800000548362735E-2,2.2500000894069675E-2,0.0210999995470047,0.02239999920129776,2.5559999942779545,-0.20719942450523376,-0.19594594836235046,-0.16666667163372037,-0.15261043608188629,-0.24579125642776489,27447.75390625,5474.61279296875,4725.8579101562491,8252.259765625,8995.0244140625,5366394,942318,1039254,2152902,1231920,118700,22418,23334,45355.000000000007,27593,1.4788000583648684,1.9509999752044678,2.787600040435791,9.0468997955322266,4527634
2013,Aiken County,SC,12260,4.2100001126527786E-2,5.3500000387430191E-2,4.7800000756978989E-2,4.1099999099969864E-2,0.03480000048875808,5.3267998695373535,0.08460003137588501,8.0808080732822418E-2,0.12735849618911743,0.10781671106815338,-1.1363640427589417E-2,245.44960021972653,0,0,0,245.44960021972653,2026544,260799,343294,866728,555723,85282,13950,16405,35611,19316,3.3373000621795654,4.1637001037597656,5.4955000877380371,13.699299812316895,819123
2013,Alameda County,CA,41860,2.0199999213218689E-2,2.8999999165534973E-2,2.1800000220537186E-2,1.8500000238418579E-2,1.9899999722838402E-2,3.5829999446868896,-0.25489616394042969,-6.4516127109527588E-2,-0.15830115973949432,-0.1741071343421936,-0.31849315762519836,267983.28125,5181.01416015625,15452.2705078125,52151.113281249993,195198.890625,40825879.999999993,2630194,3780550.9999999995,13532639,20882496,824369,76355,82464,250980,414570,1.8174999952316284,1.9057999849319458,2.6110999584197998,8.516200065612793,2794149
2013,Albany County,NY,10580,2.9999999329447746E-2,2.4800000712275509E-2,2.2299999371170998E-2,1.9300000742077827E-2,4.1000001132488258E-2,4.9763998985290527,3.2241549342870712E-2,-0.18688525259494781,-8.6065568029880524E-2,-5.8536589145660393E-2,0.23493975400924683,8117.90673828125,3585.10595703125,1699.7211914062502,2833.07958984375,0,6787484.0000000009,632692,796422.99999999988,2268199,3090170,203884,15711.999999999998,17733,43665.000000000007,126774,1.5526000261306763,1.9379999637603758,2.6084001064300537,25.559299468994144,413744
2013,Alexandria city,VA,47900,2.2600000724196437E-2,3.5700000822544105E-2,2.7599999681115147E-2,2.0899999886751168E-2,2.1400000900030136E-2,4.41629981994629,-0.17380297183990479,-0.01381214987486601,-0.11538462340831758,-0.19305019080638885,-0.16731518507003784,25102.369140625,158.84080505371094,1693.9864501953125,8685.330078125,14564.2119140625,5924892,339083.99999999994,465897.00000000006,1734143.9999999998,3385767.0000000005,133637,12116.000000000002,12842,36229,72450.000000000015,2.2395999431610107,2.404900074005127,2.9288001060485849,10.147100448608397,3292379
2013,Allegheny County,PA,38300,2.4599999189376828E-2,2.7699999511241916E-2,2.4599999189376828E-2,2.1600000560283664E-2,2.5900000706315041E-2,4.4317998886108398,-0.0425289086997509,-0.07973422110080719,-0.0390625,-3.9999999105930328E-2,-4.0740739554166787E-2,30025.064453125,4832.36865234375,2777.90869140625,6978.2524414062509,15436.535156250002,25693779,2037587.0000000005,2646598,7571389,13438205,632246.99999999988,56499,64975,163377.99999999997,347395.00000000006,1.7282999753952026,2.1408998966217041,2.9426999092102055,14.414699554443361,3820760
2013,Amelia County,VA,40060,4.1299998760223389E-2,3.5599999129772186E-2,3.2900001853704453E-2,3.5799998790025711E-2,0.08060000091791153,4.2301998138427734,0.51318407058715809,-1.6574589535593987E-2,5.4487179964780807E-2,0.38223937153816223,2.136186838150024,16.620800018310547,16.620800018310547,0,0,0,132099,25983.999999999996,32155,55504.000000000015,18456.000000000004,5457,924,1057.0000000000002,1988,1488,2.2000000476837154,2.8568000793457031,4.5181999206542969,24.799999237060543,2121746
2013,Anderson County,SC,24860,4.3999999761581421E-2,5.8699999004602432E-2,4.9899999052286148E-2,4.5000001788139343E-2,0.03229999914765358,5.5963001251220703,0.1331598162651062,0.1858585923910141,0.17688679695129395,0.21293801069259644,-8.2386359572410597E-2,1793.412841796875,0,0,0,1793.412841796875,1986940,288862,361978,723986.00000000012,612114,87359,16952,18062,32592,19753,3.6693000793457036,4.3418002128601074,5.9257998466491699,14.85190010070801,286211
2013,Anderson County,TN,28940,4.2899999767541885E-2,5.3100001066923148E-2,4.8500001430511482E-2,0.04600000008940696,3.2600000500679016E-2,5.6746997833251953,-2.9245270416140556E-2,-1.8796999938786032E-3,-1.6227180138230327E-2,4.3083898723125465E-2,-0.20873786509037018,1816.2091064453125,11.162799835205078,75.12270355224608,0,1729.923583984375,621594.99999999988,77879,94039,248174,201503,26670.999999999996,4132,4561,11406,6571.9999999999991,3.3055999279022217,4.2231001853942862,6.1989002227783203,12.399999618530273,946177
